,ID,formula,smiles,HOMO_LUMO_gap
127,ACLMSA,C19 H23 Cl1 N4 O3 S1,CCN(CC)c1ccc(N=Nc2ccc(cc2Cl)S(C)(=O)=O)c(NC(C)=O)c1,4.95519322
128,ACMTHZ,C5 H7 N3 O2 S1,COC(=O)[N-]C1=C[N+](=NS1)C,6.22133896
129,ACNPHA,C16 H15 I1 O6,COC(=O)c1cc(OC(C)=O)c2c(OC)cc(OC)c(I)c2c1,5.94269438
130,ACNPHB,C14 H13 I1 O5,COC(=O)c1cc(O)c2c(OC)cc(OC)c(I)c2c1,5.94949723
131,ACNPTH10,C29 H24 O5,CCOC(=O)C12C3C=CC=CC(C=C3)C(C(=O)OCC)(C1=O)C1=C2c2cccc3cccc1c23,5.883101450000001
132,ACOBIF,C25 H22 N2 O1,Cc1ccc(cc1)C=CC(=O)C(=NN1CCc2ccccc12)c1ccccc1,5.603640520000001
133,ACOFUV,C44 H50 O2,CCCCCCCOc1ccc(cc1)C=Cc1c2ccccc2c(C=Cc2ccc(OCCCCCCC)cc2)c2ccccc12,5.03328989
134,ACOKUA,C16 H13 Cl1,ClC(=CC=Cc1ccccc1)c1ccccc1,5.64146435
135,ACOLAH,C18 H11 Cl1 N2,ClC(=CC=Cc1ccc(cc1)C#N)c1ccc(cc1)C#N,5.53316304
136,ACOPAM,C29 H36 O4,CC1C2CC(OC(=O)C=Cc3ccccc3)C3(O)C(C)(C)CCCC3(C)C2CC2=C1C=CO2,6.040927480000001
137,ACOQIS,C23 H22 N6 O5,CC1(C)OC2C(OC(C2O1)N1C=Nc2c(N)ncnc12)C=CCN1C(=O)c2ccccc2C1=O,5.714118750000001
139,ACOSOC,C37 H45 N5 O1,CN(C)c1ccc(cc1)C(=O)C1=C2NC(=C1)C(C)(C)C1=CC=C(N1)C(C)(C)C1=CC=C(N1)C(C)(C)C1=CC=C(N1)C2(C)C,5.83439307
140,ACOTIX,C24 H22 N2 O1,Cc1ccc(cc1)N1C(=O)c2c3cc(C)ccc3nc3CC(C)(C)C=C1c23,5.882557220000001
141,ACOTOD,C23 H19 Cl1 N2 O1,Cc1ccc(cc1)N1C(=O)c2c3cc(Cl)ccc3nc3CC(C)(C)C=C1c23,5.5775176
142,ACOTUI,C25 H22 O6,COc1cc2c(OCc3ccccc3)c3cc4OCOc4cc3cc2c(OC)c1OC,5.57642914
143,ACOVAQ,C41 H40 O1 S4,CCCCCCC1=CC=C(S1)C1=CC=C(S1)c1ccc2c(c1)C(=O)c1cc(ccc21)C1=CC=C(S1)C1=CC=C(CCCCCC)S1,4.5755944
144,ACROEY,C15 H8 Cl3 N1 O2 S1,ClC(=O)[C-]([n+]1c2ccccc2c(Cl)c2ccccc12)S(Cl)=O,4.204975330000001
145,ACUDEI01,C42 H26,c1ccc(cc1)C12c3ccccc3c3c4ccccc4c4c5ccccc5C(c5ccccc5)(c5ccccc15)c4c23,5.556836939999999
146,ACUFAG,C18 H15 N3 O2,CN1C(=O)N(C)C2=C(C1=O)C1=C3CC(=CC=CC1=N2)C=CC=C3,4.453959510000001
147,ACUKUG,C18 H15 N3,CC(c1ccc2cc(ccc2c1)N1CCC1)=C(C#N)C#N,5.23819162
148,ACULAN,C19 H17 N3,CC(c1ccc2cc(ccc2c1)N1CCCC1)=C(C#N)C#N,5.16172763
149,ACULER,C21 H21 N3,CC1CCN(CC1)c1ccc2cc(ccc2c1)C(C)=C(C#N)C#N,5.34322757
150,ACULIV01,C19 H17 N3,CN(C)c1ccc2c(ccc3c2CCCC3=C(C#N)C#N)c1,5.26458666
151,ACULUH,C16 H13 N3,CN(C)c1ccc2cc(ccc2c1)C=C(C#N)C#N,4.9606355
152,ACUNOD,C22 H18 O6,COc1ccc(cc1)C(=O)C1=C(OC(=CC(C)=O)C1=O)c1ccc(OC)cc1,5.687995819999999
153,ACUNOE,C22 H19 N3 O1 S2,CSC(=Nc1c(C)cccc1C)C1=C(C#N)C(=C(S1)C(=O)c1ccccc1)N,5.64554606
155,ACUTUP,C19 H28 N2 O2 S1,CCCC1N(OC(C)C=C1C=NS(=O)C(C)(C)C)c1ccccc1,6.29916352
157,ACUVUS,C19 H20 O6,COc1ccc(cc1)C(O)=CC(=O)c1cc(OC)c(OC)c(OC)c1,5.95167414
158,ACUWAZ,C18 H10 S2,S1C=CC2=C1c1cc3cc4ccccc4cc3cc1S2,4.90784541
